tweet,sentiment_score
TWITTER KI SABHI MAHAN ATMAO KO MERA GOOD NIGHT🙆,Positive
@Tom_Finch91 In his first spell at Chelsea it was good attractive  football. Second spell it wasnt lmao boring manager kid,Positive
Cheat she accredit that yoked the marketplace is hardhearted - in good taste make out these protection tlcharger mp3 https://t.co/Ff8u6BGqLM,Positive
@DebraMessing None the less if you are a good person and you are honest you will come through on your word... Debra.,Positive
Hope everyone is having a good day! https://t.co/D1QHEEsJ0Z,Positive
RT @Nereafanny2: GOOD night @neferetproduct @Lion1978Lamb @escarlataojala @Z5cathy @AllisSilv55 @pascaledrean1 @sandrinemasen https://t.co/…,Positive
Obama offers Trump some good advice:... https://t.co/USNcRZSEdB,Positive
"@Akixual Post the good good

hmu with them dank memes, m8",Positive
@Landon52344 is this good https://t.co/pIRjrtJdJZ,Positive
RT @xPrinceFaraji: Never had crawfish but it look so good,Positive
"@Jaysenbergg you out here dropping bombs again, like the good old days?",Positive
RT @PerezHilton: #KylieJenner flaunts her tiny waist modeling #KhloéKardashian's skintight new jeans! https://t.co/S86il3hN8T https://t.co/…,Positive
Not downing my current job because the pay is good and I'm thankful for it  but I didn't get a degree for this. Know your worth,Positive
@TheDalai_Llamas well I can see that lol. Have a good day off 😌,Positive
RT @lightbyun_: Your role may not be that big but you definitely created one of the largest impact in the drama. And it's your debut. Good…,Negative
"RT @KnightKnack: Yes hello, I'd like to talk with the Gamefreak employee who thought it was a good idea to make Alolan Persian look like fu…",Positive
And let's have a good night! Have a good feelinggggg💰 https://t.co/RgIKP6CmGy,Positive
@damian_money @clevelandbirds @nybirdnews  Hi Damian was the recent sighting a good record,Positive
The only good thing from there lol,Positive
I seem to be quite good at overcooking things :( still its better than having food poisoning,Positive
"RT @unphysicalo: That's going to take AGES, but it's okay, I'm a good Johnnyeater, and will wait until...
https://t.co/eaTTyVLI72 https://t…",Positive
"@iain_schofield @YouTube I saw it mate, sounded good! Let me know mate, jaming with a few people so getting the chops back",Positive
@Jamie_Green94 looking good Jam ❤️❤️❤️ have a Fab time xx,Positive
I haven't even had my Jeep a year yet and the whole time my radio has never displayed good time. 😑,Positive
Together we contributed to having 36 trees planted!!  Keep up the good work!  #pawprintpantry #nianticct… https://t.co/errzybiuxK,Positive
@Pols80 says the one on twitter beating your miserable little drum getting no where but good luck with your mental illness- seek happiness,Positive
"RT @WHSmith: ""Good that"" #TTDashner https://t.co/yTZ02vRt7m",Positive
No doubt he is good looking guy and  plz don't called him #chaiwalla his name is Arshad,Positive
RT @JohnParker1988: Try not to get worried try not to turn onto problems that upset u Everythings alright u know everythings fine &amp; Im gonn…,Positive
Good investigation https://t.co/X1YpUoxfkW,Positive
Not #rigged at all 🚫🙊 Just keep getting your opinions from #CNN like good little Americans. #Trump2016 #Debate https://t.co/yDC0MtsyLo,Positive
"RT @PapaJackQuote: Don't ever say you're not good enough. If that person can't see how amazing you are, then they're the one who's not good…",Positive
@robportman finally did it an overtook Grassley's RCP lead. Shows what a running a GOOD campaign can look like. @realDonaldTrump,Positive
@myliterarytheft don't threaten me with a good time daddy.,Positive
"RT @lisparcell: A good mascot is short, bi-ped, big eyes, no mouth :) @uoppenguin #ili2016",Positive
@plbyron @dailydot haha! That was a good laugh 😂🎉,Positive
RT @screamerpen: When other were busy growing up too fast &amp; experiencing the world Kisses was busy equipping herself with good values. #PBB…,Positive
RT @okayjackaboy: ALRIGHT IM GOING IN TO THIS MIDTERM IN A GOOD MOOD LET'S HOPE FOR THE BEST https://t.co/MEWoA1egd2,Positive
"RT @SquawkaNews: Rio Ferdinand on Javier Hernandez: ""This kid is an unreal finisher; his movement is incredible. Good feet &amp; knows where ba…",Positive
"""Good things happen to those who hustle."" -Anais Nin",Positive
RT @BgYojoe1982: @PrinceEli22 @ArunasHotma @Sargent_Max @LukeAdamsXXX @xLoganRogueX: Good afternoon Eli,Positive
You came up in conversation last night @russell_kane - in a good way to be fair. For now ;),Positive
Happy birthday to my good friend Conn dog!! Hope your wild soul has an awesome day!😜💯❤️ https://t.co/7d7Hjc9LPs,Positive
@Misskellieblair that doesn't sound good Kellie. Get better soon 💖💖💖,Positive
@sammywilk makes me so prouder each day I support him so keep up the good work bby because I can't wait for what 2017 holds for you💯💕,Positive
Great 7am training. 63 minutes straight. Cardio was good today. Special guest… https://t.co/AG9pOeyXRC,Positive
"城下を歩けば1.9.3 
あちらこちらで1.9.3
托鉢あちこち7.6.3 MAMEKOMEOIMO
おてのもんさ 
otto 大名行列三代目
not J SOUL. 
good 大将軍
今日もみんなでナムサンダー
明日もエビバデナムサンダー",Positive
"RT @ChelseaFC: Good evening from St James's Park, home of Exeter City, where our #CFCDev squad return to action in the Checkatrade Trophy t…",Positive
"RT @theliamstan: liam payne: love of my life, insanely talented, beautiful voice, deserves everything good in life, i love him https://t.co…",Positive
Make strides reformer: an completely impressive motor: BbzjykyUh https://t.co/ck5kpdyiTA,Positive
RT @SariyaDaniellee: I need some good food. Home cooked big ass meal please,Positive
"I had a dream that I smoked &amp;started crying cause I had a drug test the next day for a job lmao....its been 2 months without it, I'm good😩😂",Negative
"RT @DoctorBenjy: RT and FOLLOW for a chance to win Football Manager 2017 #FM17
Winner announced Thursday, good luck! https://t.co/r0cfhhEBAD",Positive
@Dadsenseblog Gotta look good! https://t.co/iOS3QR9Opz,Positive
Not having a good day at all.,Positive
"RT @sixbennetts: @nytimes Good bye, and good riddance. https://t.co/cs8bwZHKwI",Positive
RT @joyabelike: 2016 was not a good year for me but I'm still doing what I gotta do for it to get better 🙏🏽,Positive
"Down east korea requests chinese, japanese other russian investigations ahead get out declining.: lkvJTGr https://t.co/blnObbyD8D",Negative
"RT @CelebrityRefs: Good to see Michael Oliver claiming the assist for City's goal at the weekend.

#CelebrityRefs

(via @daveaperkins)

htt…",Positive
RT @ilovequotebooks: The person who does not read good books has no advantage over the person who can't. - Mark Twain,Positive
"RT @OgbeniDipo: One sells snakes.
This one sells rice and palm oil.
The next one will say he or she sells cocoyam and agbalumo.

Good morni…",Positive
"""Educate a girl and good things happen in the world"" 💡💡💡",Positive
@tiafomenoff that’s a good one. I’ve always described it as an almost-constant state of fight-or-flight. For me anyway.,Positive
RT @grannyfierce: If it's good for your soul take the chance... #happyacts #quote #inspire https://t.co/jAdg6I2Idc,Positive
RT @xsmxxk: 33. if he's good at math that means he's good at calculations and nothing you ever say will add up he'll ruin your life,Positive
RT @DavidCornDC: Today would be a good day for @realDonaldTrump to release his tax returns.,Positive
@MissKitty194517 It's good,Positive
"RT @Alysssaaaaaab: I would never lie to someone to make them feel good, I'm always going to be straight up with you. That's just me though",Positive
"RT @NFL: ""[He] is one of the best quarterbacks in the NFL... He might be THE best."" https://t.co/cEUmgHzTas (via @PSchrags) https://t.co/aV…",Positive
RT @camerondallas: Good morning 😊,Positive
"@harryrag Dear Harry--I didn't say she was innocent, just said it was a good doc and very thought-provoking.",Positive
@LeoDiCaprio I have to admit you did. Pretty good job in 'the revenant'. I have to admit it's much better than I could've done  #nicework 👍,Positive
RT @daniecal: Someone asked me for a tool to discuss rape culture with teens and I think this is a good start. Dont remember who https://t.…,Positive
RT @kidnamedtim: Every good song brings bad memories,Positive
Jealous of people who have good relationships with each other.,Positive
@dopeylok__ 😱good I've been dying to try out one of my new kicks 😈,Positive
RT @AUThackeray: One of my favourites from the Worli Seaface art initiative by Good Homes. Go see it guys! https://t.co/VfFnxM8zOV,Positive
RT @punishment: do me good I'll do u better,Positive
"RT @ConnorFranta: ah feels so good to be back in canada! im speaking at WeDay tmrw to like 20,000 kids which is both heart stopping and a t…",Positive
U can care. caring is good don't let anyone tell u caring about accomplishments is bad. But don't say u are free and then worship trophy,Positive
"RT @melaninsuga: 🎉WINGS Giveaway!!
🎉RT &amp; Follow to enter; 
🎉Ends November 30th 

good luck to everyone 💕 https://t.co/R2xuNVPLHg",Positive
@Kcooks15 he's playing good defense in preseasons... to who? Third and second string guys get real and I'm watching believe that,Positive
"RT @AlinaDal_F: @marienassar_ Good morning dearest Marie, happy new week my best friend, hugs and kisses 🙋💐❤🌹🌼☀💞 https://t.co/0DqjUQLGsa",Positive
