tweet,sentiment_score
"//I'm about 95% positive I'm the oldest RPer in this verse.

I AM THE RWBYVERSE DAD.",Positive
"RT @NowBuddhism: Everyday Buddhist: Remember that calmness and compassion are an important part of living a fruitful, positive human life.…",Positive
"RT @911well: For a positive future, start with a positive vision. https://t.co/uR10terSc0",Positive
"Les plus Power Gold Chrétien en non stop! ""Stand Alone"" de JAI sur ZJM ♫ Positive Hit Music! https://t.co/fhUwrbMTnX https://t.co/wMjUmhEFrC",Positive
RT @AnaSofaKingCoo: Some of these (IGNORANT) white and Latina women haven't spoke on #BlackLivesMatter in a positive light yet &amp; claim they…,Positive
RT @ohgeenuh: just need one good and positive day please,Positive
@acb4values I am assuming Trump version of New York Values are on full display now. @positive_sway @SouthernKeeks,Positive
RT @thomholbrook: @CambridgeNewsUK Not sure those reviews are 'mixed': did anyone have anything positive to say about this v important spac…,Positive
"@MakotoX10 --this kind of company is just out of character for me. Though, I must agree it's a nice place."" 

No matter how positive his--",Positive
"Obama's only hope of some ""torqued positive"" legacy rests entirely on Crooked Hillary winning and policies that are crushing the country.",Positive
Leaving a positive digital footprint behind for our fourth graders! https://t.co/TdSQhECROw,Negative
This shit weighing down on me an yet i still keep a gold shoulder on my head and remain positive as i can be smh 😞,Negative
RT @Jania_AE: It's hard trying to stay positive in a shitty situation. Especially when you have every reason to be upset.,Negative
RT @wfarah_: Aku bawak condom merata jgn nak fikir bukan bukan. Positive sikit! https://t.co/pNZ34sq6Xt,Positive
"RT @911well: For a positive future, start with a positive vision. https://t.co/uR10terSc0",Positive
RT @shyiaasf: Every since I stop talking to some people my grades got better &amp; my attitude got positive. Life is great man ..,Positive
"RT @PAWS4IrvingDogs: ***URGENT/HW POSITIVE ***
Princess is available for adoption or rescue at the Irving Animal Services. https://t.co/fFf…",Positive
You know you've hit rock bottom when you're frantically reading 'how to be happy' or 'how to be positive' posts AND NONE OF IT WORKS sigh,Positive
@MarkJL07 @TheSeigeDFS @BigT44DFS @SamENole @EricCrain why be positive when negativity grabs headlines? Which he clearly loves,Positive
RT @JudySgroMP: Tremendous event with  @AhmadiyyaCanada and with Members of the #LPC and others. Nice to hear such a positive message #Cali…,Positive
@Dherb0 I just hope you get your life together and back to school and do something positive in your life 😊 goodbye,Positive
RT @EricaShamira_: You gotta live life to the fullest &amp; focuse on the positive.,Positive
God knows no one has ever privately noted that someone who might have positive attributes is a smug piece of shit.,Positive
10 Simple Habits of Relentlessly Positive People https://t.co/J1gq9Mh25b #technology,Positive
Positive streak was going well until I read lightsaber crystals now choose their owners like a Harry Potter wand?!? https://t.co/MkqhJ01V2x,Positive
"@CraigCo62 Deplorable Donald and his followers seem to WANT to destroy the GOP and mainstream conservatism, but without positive goals.",Negative
"RT @ICYTWAT: things used to be cool when everybody actually wanted to be ""based"" and positive.",Positive
"RT @AugustAlsina: The worlds fucked up.. Even trying to do something positive, everybody not gonna be on your side or… https://t.co/4QMOBAO…",Negative
It's Vinny time...I'm positive. 3-1 spurs @SpursOfficial,Positive
RT @IOM_UK: @HumanTraffFdn points out that positive identification as a victim is meaningless without accompanying leave to remain #AntiSla…,Negative
"@JillRowan1 Hello, thank you for the positive comments, we certainly appreciate it. I'm glad we could resolve the problem quickly, Rod.",Positive
I just connected to south Africa 💪 anything is possible when it's positive,Positive
"RT @bcorbridge: Love this. With so much to be depressed and disturbed about coming from the GOP nominee, it's refreshing to see HRC up w/ a…",Positive
URGENT!! TOMMY is at HIGH RISK of being added to the euthanasia list due to testing heartworm positive. He is a 3... https://t.co/8PFiq4H3ES,Positive
Positive vibes only nothing less,Positive
"NP @RadicalOnFire - Dear White People: I Love White People (Radio Edit) On https://t.co/a49FF42gAw ""The Positive Voice Of New York"" #YHR",Positive
RT @DJSmokey666: 🚨🚨🚨 Attention Positive Squad 🚨🚨🚨 Protect positive squad Stay blessed never stressed #PositiveSquad,Positive
"RT @ICYTWAT: things used to be cool when everybody actually wanted to be ""based"" and positive.",Positive
RT @InsuranceSteph: All sides have more in common than they might realise says @DACBeachcrosts Parker. Come to table and engage with positi…,Positive
"By choosing higher positive thoughts, you can change what you see and experience in your reality. #mebeforeyou... https://t.co/MTZtVohnHh",Positive
"RT @monteromyna1: Hit ❤ button and leave positive comments!
https://t.co/Ho46sh7c6H https://t.co/rWs4tCw5SP",Positive
"""I want only one, do not you ever think negatively about me, think positive about me"" #NabilahJKT48Fact",Negative
